"id","nev","orszag","nem","szulev","urido","url"
"1","Stuart Roosa","USA","F","1933","T009:00:01","https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Roosa_cropped.jpg/1024px-Roosa_cropped.jpg"
"2","Gennady Padalka","RUS","F","1958","T878:11:29","https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Padalka.jpg/1024px-Padalka.jpg"
"3","Valery Korzun","RUS","F","1953","T381:15:41","https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Waleri_Grigorjewitsch_Korsun.jpg"
"4","Scott Carpenter","USA","F","1925","T000:04:56","https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Carpenter_suiting_up.jpg/1024px-Carpenter_suiting_up.jpg"
"5","Vladislav Volkov","URS","F","1935","T028:20:02","https://www.april12.eu/russcosm/photo/volkov43.jpg"
"6","Umberto Guidoni","ITA","F","1954","T027:15:11","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Leonid_Kadenyuk.jpg/1024px-Leonid_Kadenyuk.jpg"
